route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"SB",1,687,"Sunset Park/BAT Limited",3104,0,31,115
"SB",1,688,"Wall St./Pier 11 Limited",3201,1,32,80
"SB",1,689,"Wall St./Pier 11 Limited",3203,1,32,80
"SB",1,690,"Wall St./Pier 11 Limited",3205,1,32,80
"SB",1,691,"Wall St./Pier 11 Limited",3207,1,32,80
"SB",1,692,"Wall St./Pier 11 Limited",3209,1,32,80
"ER",1,693,"Wall St./Pier 11",1514,0,15,81
"ER",1,694,"Wall St./Pier 11",1410,0,14,81
"ER",1,695,"Wall St./Pier 11",1215,0,12,81
"ER",1,696,"Wall St./Pier 11",1316,0,13,81
"ER",1,697,"Wall St./Pier 11",1516,0,15,81
"ER",1,698,"Wall St./Pier 11",1412,0,14,81
"SB",1,699,"Bay Ridge",3307,0,33,46
"SB",1,700,"Bay Ridge",3108,0,31,46
"SB",1,701,"Bay Ridge",3210,0,32,46
"SB",1,702,"Bay Ridge",3309,0,33,46
"SB",1,712,"Corlears Hook",3308,1,33,45
"SB",1,713,"Corlears Hook",3109,1,31,45
"RW",1,715,"Wall St./Pier 11",2101,1,21,7
"RW",1,716,"Wall St./Pier 11",2201,1,22,7
"RW",1,717,"Wall St./Pier 11",2103,1,21,7
"RW",1,718,"Wall St./Pier 11",2203,1,22,7
"RW",1,719,"Wall St./Pier 11",2105,1,21,7
"RW",1,720,"Wall St./Pier 11",2205,1,22,7
"RW",1,721,"Wall St./Pier 11",2107,1,21,7
"SB",1,762,"Corlears Hook",3211,1,32,45
"SB",1,763,"Corlears Hook",3310,1,33,45
"ER",2,807,"Hunters Point South",1301,1,13,82
"ER",2,808,"Hunters Point South",1102,1,11,82
"ER",2,809,"Hunters Point South",1202,1,12,82
"ER",2,810,"Hunters Point South",1303,1,13,82
"ER",2,811,"Hunters Point South",1104,1,11,82
"ER",2,812,"Hunters Point South",1204,1,12,82
"ER",2,813,"Hunters Point South",1401,1,14,82
"ER",2,814,"Hunters Point South",1305,1,13,82
"ER",2,815,"Hunters Point South",1501,1,15,82
"ER",2,816,"Hunters Point South",1106,1,11,82
"ER",2,817,"Hunters Point South",1601,1,16,82
"ER",2,818,"Hunters Point South",1206,1,12,82
"ER",2,819,"Hunters Point South",1403,1,14,82
"ER",2,820,"Hunters Point South",1307,1,13,82
"ER",2,821,"Hunters Point South",1503,1,15,82
"ER",2,822,"Hunters Point South",1108,1,11,82
"ER",2,823,"Hunters Point South",1603,1,16,82
"ER",2,824,"Hunters Point South",1208,1,12,82
"ER",2,825,"Hunters Point South",1405,1,14,82
"ER",2,826,"Hunters Point South",1309,1,13,82
"ER",2,827,"Hunters Point South",1505,1,15,82
"ER",2,828,"Hunters Point South",1110,1,11,82
"ER",2,829,"Hunters Point South",1605,1,16,82
"ER",2,830,"Hunters Point South",1210,1,12,82
"ER",2,831,"Hunters Point South",1407,1,14,82
"ER",2,832,"Hunters Point South",1311,1,13,82
"ER",2,833,"Hunters Point South",1507,1,15,82
"ER",2,834,"Hunters Point South",1112,1,11,82
"ER",2,835,"Hunters Point South",1607,1,16,82
"ER",2,836,"Hunters Point South",1212,1,12,82
"ER",2,837,"Hunters Point South",1409,1,14,82
"ER",2,838,"Hunters Point South",1313,1,13,82
"ER",2,839,"Hunters Point South",1509,1,15,82
"ER",2,840,"Hunters Point South",1114,1,11,82
"ER",2,841,"Hunters Point South",1609,1,16,82
"ER",2,842,"Hunters Point South",1214,1,12,82
"ER",2,843,"Hunters Point South",1315,1,13,82
"ER",2,845,"Wall St./Pier 11",1101,0,11,81
"ER",2,846,"Wall St./Pier 11",1201,0,12,81
"ER",2,847,"Wall St./Pier 11",1302,0,13,81
"ER",2,848,"Wall St./Pier 11",1103,0,11,81
"ER",2,849,"Wall St./Pier 11",1203,0,12,81
"ER",2,850,"Wall St./Pier 11",1304,0,13,81
"ER",2,851,"Wall St./Pier 11",1105,0,11,81
"ER",2,852,"Wall St./Pier 11",1205,0,12,81
"ER",2,853,"Wall St./Pier 11",1402,0,14,81
"ER",2,854,"Wall St./Pier 11",1306,0,13,81
"ER",2,855,"Wall St./Pier 11",1502,0,15,81
"ER",2,856,"Wall St./Pier 11",1107,0,11,81
"ER",2,857,"Wall St./Pier 11",1602,0,16,81
"ER",2,858,"Wall St./Pier 11",1207,0,12,81
"ER",2,859,"Wall St./Pier 11",1404,0,14,81
"ER",2,860,"Wall St./Pier 11",1308,0,13,81
"ER",2,861,"Wall St./Pier 11",1504,0,15,81
"ER",2,862,"Wall St./Pier 11",1109,0,11,81
"ER",2,863,"Wall St./Pier 11",1604,0,16,81
"ER",2,864,"Wall St./Pier 11",1209,0,12,81
"ER",2,865,"Wall St./Pier 11",1406,0,14,81
"ER",2,866,"Wall St./Pier 11",1310,0,13,81
"ER",2,867,"Wall St./Pier 11",1506,0,15,81
"ER",2,868,"Wall St./Pier 11",1111,0,11,81
"ER",2,869,"Wall St./Pier 11",1606,0,16,81
"ER",2,870,"Wall St./Pier 11",1211,0,12,81
"ER",2,871,"Wall St./Pier 11",1408,0,14,81
"ER",2,872,"Wall St./Pier 11",1312,0,13,81
"ER",2,873,"Wall St./Pier 11",1508,0,15,81
"ER",2,874,"Wall St./Pier 11",1113,0,11,81
"ER",2,875,"Wall St./Pier 11",1608,0,16,81
"ER",2,876,"Wall St./Pier 11",1213,0,12,81
"ER",2,877,"Wall St./Pier 11",1410,0,14,81
"ER",2,878,"Wall St./Pier 11",1314,0,13,81
"ER",2,879,"Wall St./Pier 11",1510,0,15,81
"ER",2,880,"Wall St./Pier 11",1115,0,11,81
"ER",2,881,"Wall St./Pier 11",1610,0,16,81
"ER",2,882,"Wall St./Pier 11",1215,0,12,81
"ER",2,883,"Wall St./Pier 11",1316,0,13,81
"RW",1,884,"Rockaway",2108,0,21,8
"RW",1,885,"Rockaway",2208,0,22,8
"RW",1,886,"Rockaway",2110,0,21,8
"RW",1,887,"Rockaway",2210,0,22,8
"RW",1,888,"Rockaway",2112,0,21,8
"RW",1,889,"Rockaway",2212,0,22,8
"RW",1,890,"Rockaway",2114,0,21,8
"RW",1,891,"Rockaway",2214,0,22,8
