trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
car1_Standard_toM_203000,20:37:30,20:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_204500,20:45:00,20:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_204500,20:52:30,20:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_210000,21:00:00,21:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_210000,21:07:30,21:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_211500,21:15:00,21:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_211500,21:22:30,21:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_213000,21:30:00,21:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_213000,21:37:30,21:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_214500,21:45:00,21:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_214500,21:52:30,21:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_220000,22:00:00,22:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_220000,22:07:30,22:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_221500,22:15:00,22:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_221500,22:22:30,22:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_223000,22:30:00,22:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_223000,22:37:30,22:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_224500,22:45:00,22:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_224500,22:52:30,22:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_230000,23:00:00,23:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_230000,23:07:30,23:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_231500,23:15:00,23:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_231500,23:22:30,23:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_233000,23:30:00,23:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_233000,23:37:30,23:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_234500,23:45:00,23:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_234500,23:52:30,23:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_240000,24:00:00,24:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_240000,24:07:30,24:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_241500,24:15:00,24:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_241500,24:22:30,24:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_243000,24:30:00,24:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_243000,24:37:30,24:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_244500,24:45:00,24:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_244500,24:52:30,24:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_250000,25:00:00,25:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_250000,25:07:30,25:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_251500,25:15:00,25:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_251500,25:22:30,25:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_253000,25:30:00,25:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_253000,25:37:30,25:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_254500,25:45:00,25:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_254500,25:52:30,25:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toRI_060730,06:07:30,06:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_060730,06:15:00,06:15:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_062230,06:22:30,06:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_062230,06:30:00,06:30:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_063730,06:37:30,06:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_063730,06:45:00,06:45:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_065230,06:52:30,06:53:00,2,1,Roosevelt Island,0,0,,,0,1
